Threads, n, iteration, time
6, 500, 6, 602
8, 500, 6, 1616
1, 1000, 6, 699
2, 1000, 6, 1286
3, 1000, 6, 1364
4, 1000, 6, 1485
6, 1000, 6, 1381
8, 1000, 6, 2362
1, 2000, 6, 2526
2, 2000, 6, 3937
3, 2000, 6, 3276
4, 2000, 6, 2931
6, 2000, 6, 3356
8, 2000, 6, 3284
1, 5000, 6, 13607
2, 5000, 6, 20460
3, 5000, 6, 15691
4, 5000, 6, 17187
6, 5000, 6, 14240
8, 5000, 6, 18211
1, 10000, 6, 54256
2, 10000, 6, 85851
3, 10000, 6, 104806
4, 10000, 6, 73121
6, 10000, 6, 52961
8, 10000, 6, 212504
1, 100, 7, 5
2, 100, 7, 451
3, 100, 7, 224
4, 100, 7, 193
6, 100, 7, 219
8, 100, 7, 142
1, 500, 7, 202
2, 500, 7, 706
3, 500, 7, 686
4, 500, 7, 547
6, 500, 7, 537
8, 500, 7, 612
1, 1000, 7, 781
2, 1000, 7, 1330
3, 1000, 7, 1567
4, 1000, 7, 2734
6, 1000, 7, 2039
8, 1000, 7, 1360
1, 2000, 7, 2316
2, 2000, 7, 4018
3, 2000, 7, 3464
4, 2000, 7, 5722
6, 2000, 7, 3365
8, 2000, 7, 3197
1, 5000, 7, 13938
2, 5000, 7, 21364
3, 5000, 7, 17268
4, 5000, 7, 18396
6, 5000, 7, 15399
8, 5000, 7, 15731
1, 10000, 7, 74885
2, 10000, 7, 105260
3, 10000, 7, 75234
4, 10000, 7, 62680
6, 10000, 7, 56569
8, 10000, 7, 47524
1, 100, 8, 7
2, 100, 8, 66
3, 100, 8, 96
4, 100, 8, 96
6, 100, 8, 89
8, 100, 8, 97
1, 500, 8, 862
2, 500, 8, 507
3, 500, 8, 482
4, 500, 8, 662
6, 500, 8, 515
8, 500, 8, 43852
1, 1000, 8, 4327
2, 1000, 8, 3109
3, 1000, 8, 1213
4, 1000, 8, 1437
6, 1000, 8, 3110
8, 1000, 8, 1629
1, 2000, 8, 2186
2, 2000, 8, 3894
3, 2000, 8, 3308
4, 2000, 8, 3139
6, 2000, 8, 3146
8, 2000, 8, 3283
1, 5000, 8, 13353
2, 5000, 8, 20478
3, 5000, 8, 15780
4, 5000, 8, 17272
6, 5000, 8, 14444
8, 5000, 8, 46863
1, 10000, 8, 54501
2, 10000, 8, 79670
3, 10000, 8, 68398
4, 10000, 8, 53222
6, 10000, 8, 62546
8, 10000, 8, 105234
1, 100, 9, 5
2, 100, 9, 163
3, 100, 9, 87
4, 100, 9, 68
6, 100, 9, 90
8, 100, 9, 127
1, 500, 9, 201
2, 500, 9, 1580
3, 500, 9, 710
4, 500, 9, 611
6, 500, 9, 2668
8, 500, 9, 31466
1, 1000, 9, 893
2, 1000, 9, 4091
3, 1000, 9, 1345
4, 1000, 9, 1255
6, 1000, 9, 5123
8, 1000, 9, 1332
1, 2000, 9, 2347
2, 2000, 9, 4170
3, 2000, 9, 3568
4, 2000, 9, 3491
6, 2000, 9, 4266
8, 2000, 9, 4681
1, 5000, 9, 14589
2, 5000, 9, 21385
3, 5000, 9, 15455
4, 5000, 9, 19491
6, 5000, 9, 14563
8, 5000, 9, 18281
1, 10000, 9, 62285
2, 10000, 9, 75348
3, 10000, 9, 81704
4, 10000, 9, 54375
6, 10000, 9, 54701
8, 10000, 9, 54835
